=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 59ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [1bb104a5]: inbound TCP, 500 ports
    
  Scan [1bb104a5] — inbound:

  Baseline (no IP options):
    TCP/17989  filtered   [was closed]
    TCP/18004  closed
    TCP/18234  filtered   [was closed]
    TCP/18331  closed
    TCP/18360  closed
    TCP/18449  closed
    TCP/18582  filtered   [was closed]
    TCP/18835  closed
    TCP/18980  filtered   [was closed]
    TCP/19017  closed
    TCP/19039  filtered   [was closed]
    TCP/19120  filtered   [was closed]
    TCP/19130  filtered   [was closed]
    TCP/19165  filtered   [was closed]
    TCP/19197  closed
    TCP/19283  closed
    TCP/19294  filtered   [was closed]
    TCP/19322  closed
    TCP/19332  closed
    TCP/19489  filtered   [was closed]
    TCP/19503  closed
    TCP/19600  closed
    TCP/19616  closed
    TCP/19682  closed
    TCP/19687  filtered   [was closed]
    TCP/19933  filtered   [was closed]
    TCP/20004  filtered   [was closed]
    TCP/20019  closed
    TCP/20031  filtered   [was closed]
    TCP/20126  filtered   [was closed]
    TCP/20359  closed
    TCP/20389  filtered   [was closed]
    TCP/21131  filtered   [was closed]
    TCP/21212  filtered   [was closed]
    TCP/21261  filtered   [was closed]
    TCP/21298  filtered   [was closed]
    TCP/21354  filtered   [was closed]
    TCP/21383  closed
    TCP/21621  filtered   [was closed]
    TCP/21803  closed
    TCP/21902  closed
    TCP/22055  filtered   [was closed]
    TCP/22341  filtered   [was closed]
    TCP/22692  filtered   [was closed]
    TCP/22695  filtered   [was closed]
    TCP/22739  filtered   [was closed]
    TCP/22799  filtered   [was closed]
    TCP/22846  closed
    TCP/22914  closed
    TCP/22986  closed
    TCP/22996  filtered   [was closed]
    TCP/23040  filtered   [was closed]
    TCP/23176  closed
    TCP/23354  closed
    TCP/23531  closed
    TCP/23557  closed
    TCP/23608  closed
    TCP/23679  filtered   [was closed]
    TCP/23781  filtered   [was closed]
    TCP/23965  closed
    TCP/23980  filtered   [was closed]
    TCP/24007  closed
    TCP/24279  closed
    TCP/24511  filtered   [was closed]
    TCP/24594  closed
    TCP/24606  closed
    TCP/24644  closed
    TCP/24854  closed
    TCP/24910  filtered   [was closed]
    TCP/25003  filtered   [was closed]
    TCP/25157  filtered   [was closed]
    TCP/25240  filtered   [was closed]
    TCP/25280  closed
    TCP/25375  filtered   [was closed]
    TCP/27015  filtered   [was closed]
    TCP/27195  closed
    TCP/27892  closed
    TCP/28547  filtered   [was closed]
    TCP/29823  closed
    TCP/30303  filtered   [was closed]
    TCP/30365  filtered   [was closed]
    TCP/30718  closed
    TCP/31073  filtered   [was closed]
    TCP/31337  filtered   [was closed]
    TCP/31681  closed
    TCP/31891  closed
    TCP/32768  closed
    TCP/32769  filtered   [was closed]
    TCP/32770  filtered   [was closed]
    TCP/32771  closed
    TCP/32772  filtered   [was closed]
    TCP/32773  closed
    TCP/32774  filtered   [was closed]
    TCP/32775  closed
    TCP/32776  closed
    TCP/32777  filtered   [was closed]
    TCP/32779  filtered   [was closed]
    TCP/32815  closed
    TCP/32818  closed
    TCP/32931  filtered   [was closed]
    TCP/33281  closed
    TCP/33354  closed
    TCP/33355  closed
    TCP/33744  closed
    TCP/34125  closed
    TCP/34555  closed
    TCP/34861  closed
    TCP/34862  filtered   [was closed]
    TCP/34892  closed
    TCP/35438  closed
    TCP/35777  filtered   [was closed]
    TCP/36206  filtered   [was closed]
    TCP/37444  closed
    TCP/38037  closed
    TCP/38293  filtered   [was closed]
    TCP/39213  closed
    TCP/39888  filtered   [was closed]
    TCP/40116  filtered   [was closed]
    TCP/40441  closed
    TCP/40708  filtered   [was closed]
